year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2012,Jism 2,no,49.0,3.1,3830,3.583,1.699
2016,Mohenjo Daro,yes,107.8,5.6,13735,4.138,2.037
2018,Blackmail,no,28.81,7.2,13462,4.129,1.474
2000,Raja Ko Rani Se Pyar Ho Gaya,no,64.87,3.4,120,2.083,1.819
2013,Zindagi 50-50,yes,11.0,2.8,261,2.418,1.079
2017,A Death in the Gunj,no,1.37,7.4,6858,3.836,0.375
2005,Chaahat – Ek Nasha,no,153.0,4.0,101,2.009,2.188
2005,Naam Gum Jaayega,no,3.5,6.2,109,2.041,0.653
2007,Apne,yes,69.28,6.1,3847,3.585,1.847
2001,Pyaar Zindagi Hai,yes,0.11,6.5,68,1.839,0.045
2011,Chala Mussaddi... Office Office,no,1.4,6.1,394,2.597,0.38
2024,The Buckingham Murders,yes,14.56,5.9,11223,4.05,1.192
2019,Junglee,no,24.7,5.6,2532,3.404,1.41
2013,R... Rajkumar,yes,101.21,5.3,7676,3.885,2.009
2004,Murder,yes,25.0,5.6,7742,3.889,1.415
2006,Dil Diya Hai,yes,3.25,3.9,613,2.788,0.628
2009,Toss,no,0.19,5.2,31,1.505,0.076
2000,Mission Kashmir,yes,43.3,6.6,8072,3.907,1.646
2002,Gunaah,no,7.5,3.5,484,2.686,0.929
